FID,Site_ID,Site_Name,Gov_Level,State,Prot_Lvl,Mgmt_Agen,Mgmt_Plan,Pri_Con_Fo,Cons_Focus,Fish_Rstr,Prot_Focus,Permanence,Constancy,Estab_Yr,Anchor,Vessel,IUCN_MPA,IUCNcat,Category,Marine,URL,WDPA_Cd,ProSeasID,Design,AreaKm,AreaMar,MarPercent,AreaNT,Longitude,Latitude,VxCount,SHAPE_Leng,Shape__Area,Shape__Length
11,CT22,Great Island Wildlife Area/Roger Tory Peterson Natural Area Preserve,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1931, , ,1,VI,IUCN MPA,Mixed,https://www.ctaudubon.org/rtp-estuary-home/,0,CT22,Wildlife Area/Natural Area Preserve,2.29084,0.273474309,12,0,-72.33371342,41.29151046,963,0.279429282,4061742.246,36053.87324
12,CT24,Hammock River Marsh Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,"Natural Heritage, Cultural Heritage and Sustainable Production",No Site Restrictions,Ecosystem,Permanent,Year-round,1969, , ,1,VI,IUCN MPA,Marine,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT24,Wildlife Area,0.366767,0,0,0,-72.50673351,41.26662111,275,0.092975547,649747.6992,11966.54761
13,CT25,Lords Cove Wildlife Area/Natural Area Preserve,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1931, , ,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT25,Wildlife Area/Natural Area Preserve,0.679525,0.059583609,9,0,-72.362874,41.34885017,541,0.164184641,1206976.105,20929.85551
14,CT27,Nott Island Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,0, , ,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT27,Wildlife Area,0.324779,0.018711508,6,0,-72.37147866,41.34868862,117,0.033772656,576803.4961,4420.32873
15,CT32,Plum Bank Marsh Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1957, , ,1,VI,IUCN MPA,Interface,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT32,Wildlife Area,1.00087,0.026487419,3,0,-72.38577148,41.27673872,782,0.223240366,1773608.93,28882.11563
16,CT33,Popes Island Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1955, , ,1,VI,IUCN MPA,Marine,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT33,Wildlife Area,0.0975386,0.097538572,100,0,-73.11050753,41.2194892,40,0.014578155,172547.5977,2068.995353
17,CT34,Quinnipiac River Marsh Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1977, , ,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT34,Wildlife Area,2.28185,0.137079632,6,0,-72.88317884,41.34877277,980,0.317417964,4052534.855,40120.45063
18,CT35,Ragged Rock Creek Marsh Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1942, , ,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT35,Wildlife Area,0.800252,0.057702174,7,0,-72.35905186,41.30605316,384,0.128524491,1419228.594,16501.10103
19,CT38,South Cove Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1968, , ,1,VI,IUCN MPA,Interface,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT38,Wildlife Area,0.105332,0.004896008,5,0,-72.36916553,41.26871073,130,0.028920516,186613.9453,3668.022841
20,CT4,Hammonasset Beach State Park,State,CT,Zoned Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1920, , ,1,IV,IUCN MPA,Interface,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=325210&deepNav_GID=1650%20,0,CT4,State Park,2.35311,0.003726709,0,0,-72.55844508,41.26590183,520,0.189338045,4168576.992,24101.58931
21,CT5,Harkness Memorial State Park/William A Niering Natural Area Preserve,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Cultural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1952, , ,1,IV,IUCN MPA,Interface,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=325214&deepNav_GID=1650%20,55557962,CT5,State Park/Natural Area Preserve,1.33514,0.008523838,1,0,-72.1173045,41.30758744,153,0.087257005,2368219.09,10956.77704
22,CT8,Selden Neck State Park/Natural Area Preserve,State,CT,Zoned Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1917, , ,1,IV,IUCN MPA,Marine,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=435364&deepNav_GID=1650#map,0,CT8,State Park/Natural Area Preserve,2.2777,0,0,0,-72.41000684,41.398065,236,0.089887476,4051263.984,11492.78967
23,DE1,Cape Henlopen State Park,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1964, , ,1,IV,IUCN MPA,Interface,https://www.destateparks.com/park/cape-henlopen/,21757,DE1,State Park,21.7277,0.458917141,2,0,-75.10226196,38.75873631,818,0.596423805,35784573.56,74821.9897
24,DE10,Augustine Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1964, , ,1,VI,IUCN MPA,Mixed,https://www.stateparks.com/augustine_state_wildlife_management_area_in_delaware.html,5555991,DE10,Wildlife Area,10.5329,0.607548061,6,0,-75.59185657,39.46283284,2965,0.409282379,17708395.28,52995.62376
25,DE4,Ted Harvey Conservation Area (Wildlife Area),State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1979, , ,1,VI,IUCN MPA,Interface,https://www.visitdelaware.com/listings/ted-harvey-wildlife-area/2420/,555586786,DE4,Wildlife Area,10.4698,0.279296732,3,0,-75.424866,39.08372876,1842,0.463150778,17400711.99,58135.02954
26,DE6,Little Creek Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1957, , ,1,VI,IUCN MPA,Interface,https://www.visitdelaware.com/listings/little-creek-wildlife-area/2410/,555586788,DE6,Wildlife Area,18.8107,0.470566017,3,0,-75.42588819,39.1636055,2214,0.560169621,31333541.3,70144.56766
27,DE8,Assawoman Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1943, , ,1,VI,IUCN MPA,Interface,https://www.stateparks.com/assawoman_bay_state_wildlife_area_in_delaware.html,5555989,DE8,Wildlife Area,11.6069,0.58973696,5,0,-75.09952555,38.49292553,2888,0.636573449,18987066.96,79458.60868
28,DE9,Cedar Swamp Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1981, , ,1,VI,IUCN MPA,Mixed,http://www.dnrec.delaware.gov:80/fw/Hunting/Pages/WildlifeAreaMaps.aspx,555586789,DE9,Wildlife Area,21.7665,1.548965719,7,0,-75.55877388,39.38817209,3697,0.653150236,36488335.75,81540.33214
29,FL1,Alligator Harbor Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/alligator/; Site Management Plan|https://www.gpo.gov/fdsys/pkg/CZIC-qh91-75-f6-a55-1986/html/CZIC-qh91-75-f6-a55-1986.htm,555586744,FL1,Aquatic Preserve,58.1933,57.60449019,99,0,-84.46590749,29.90151681,1666,0.5555309,77700013.41,65015.46735
30,FL10,Estero Bay Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1966,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/estero/,555586745,FL10,Aquatic Preserve,43.4223,40.55764849,93,0,-81.87210051,26.44158622,12535,2.691406364,54357249.64,316639.6971
31,FL11,Fort Pickens State Park Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1970,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/ftpickens/,555586746,FL11,State Park Aquatic Preserve,125.588,124.6932387,99,0,-87.28498801,30.29995324,1387,1.088433192,169030219.8,124971.3373
32,CA113,Farallon Islands Game Refuge,State,CA,Uniform Multiple Use,California Department of Fish and Wildlife,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1971,Unrestricted,Restricted,1,VI,IUCN MPA,Marine, ,0,CA113,Game Refuge,46.1419,45.98524284,100,0,-123.0473107,37.73145127,2172,0.511426795,73892933.4,63651.58242
33,CT11,Hammonasset Natural Area Preserve,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1920, , ,1,V,IUCN MPA,Interface, ,55557792,CT11,Natural Area Preserve,1.67573,0.085782181,5,0,-72.5454345,41.2596578,608,0.157834475,2968010.68,20475.96097
34,DE5,Woodland Beach Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1953, , ,1,VI,IUCN MPA,Mixed, ,555586787,DE5,Wildlife Area,25.247,3.841166712,15,0,-75.50850951,39.33333666,2919,0.76130591,42257048.7,95204.37237
35,FL520,St. Joseph Bay State Buffer Preserve,State,FL,No Take,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1995, , ,1,Ia,IUCN MPA,Mixed,https://floridadep.gov/rcp/state-buffer-preserve/locations/st-joseph-bay-state-buffer-preserve,375080,FL520,State Buffer Preserve,22.6231,1.797006123,8,22.62307358,-85.29193594,29.70985151,1109,0.616551199,30092162.13,74241.23888
36,FL527,St. Sebastian River Preserve State Park,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Restrictions Unknown,Ecosystem,Permanent,Year-round,1995, , ,1,IV,IUCN MPA,Interface,https://www.floridastateparks.org/park/St-Sebastian-River,666669,FL527,State Park,87.498,0.242234563,0,87.8309,-80.56181277,27.8209712,4370,1.078957048,112289788.7,127427.9689
37,FL12,Gasparilla Sound - Charlotte Harbor Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1979,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/gasparilla-sound-charlotte-harbor-aquatic-preserve,555586747,FL12,Aquatic Preserve,340.073,333.2045775,98,0,-82.13823126,26.81680165,11571,2.931507607,428680924.1,346072.1548
38,FL1207,Werner-Boyce Salt Springs State Park,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1992,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://www.floridastateparks.org/park/Werner-Boyce,555586061,FL1207,State Park,16.081,5.059576832,31,0,-82.72277723,28.31759114,483,0.27589937,20827033.88,32668.18034
39,FL14,Lemon Bay Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1986,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/lemon/,555586748,FL14,Aquatic Preserve,26.953,26.17057542,97,0,-82.34378866,26.91813993,4848,1.372803831,34036083.49,162745.0041
40,FL15,Matlacha Pass Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1972,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/matlacha/,555586749,FL15,Aquatic Preserve,80.1007,53.3984429,67,0,-82.07478549,26.59169684,2778,1.085466752,100653174.3,129662.3663
41,FL1507,Apalachicola River Wildlife and Environmental Area,State,FL,Uniform Multiple Use,Florida Fish and Wildlife Conservation Commission,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1974,Restricted,Restricted,1,VI,IUCN MPA,Interface,https://myfwc.com/viewing/recreation/wmas/lead/apalachicola-river,365317,FL1507,Wildlife and Environmental Area,348.029,10.01336957,3,0,-85.02405313,29.87518931,1133,2.169686265,464450462.3,261033.5233
42,FL1511,Florida Keys Wildlife and Environmental Area,State,FL,Uniform Multiple Use,Florida Fish and Wildlife Conservation Commission,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1969, , ,1,VI,IUCN MPA,Mixed,https://myfwc.com/viewing/recreation/wmas/lead/florida-keys,368569,FL1511,Wildlife and Environmental Area,10.4855,0.676758707,6,0,-81.20825097,24.62017591,8754,1.341885134,12770827.71,156297.6251
43,FL1513,Southern Glades Wildlife and Environmental Area,State,FL,Uniform Multiple Use,Florida Fish and Wildlife Conservation Commission,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1997, , ,1,VI,IUCN MPA,Marine,https://myfwc.com/viewing/recreation/wmas/cooperative/southern-glades,555586764,FL1513,Wildlife and Environmental Area,123.138,0,0,0,-80.5155956,25.33140528,13,0.447331755,151374745.4,52217.23135
44,FL17,Pine Island Sound Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1970,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/pine-island-sound-aquatic-preserve,555586750,FL17,Aquatic Preserve,228.571,219.0209354,96,0,-82.16422638,26.58562664,8361,2.316468593,286972636.8,274302.2724
45,FL18,Pinellas County Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1972,Restricted,Restricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/pinellas-county-aquatic-preserves,555586751,FL18,Aquatic Preserve,1425.34,1412.90307,99,0,-82.8434443,27.90379304,24061,9.044880978,1831981125,1075991.212
46,FL2,Apalachicola Bay Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/apalachicola-ap/,555586900,FL2,Aquatic Preserve,417.309,309.2104184,74,0,-85.0057352,29.69665144,3756,1.724700292,554940844.1,203058.69
47,FL20,Rocky Bayou State Park Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1970,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/rocky/,555586752,FL20,Aquatic Preserve,1.48794,1.443956739,97,0,-86.42811992,30.50390518,258,0.061022606,2010931.408,7139.98777
48,FL22,St. Andrews State Park Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1972,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/standrews/,555586753,FL22,Aquatic Preserve,96.613,96.17914696,100,0,-85.70254291,30.08884821,1312,0.736363931,129481597.9,86876.49637
49,FL23,St. Joseph Bay Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/st-joseph-bay-aquatic-preserve,555586754,FL23,Aquatic Preserve,266.161,265.0188519,100,0,-85.39146845,29.77157303,2266,1.313439841,354468626.7,161100.9128
50,FL24,St. Martins Marsh Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/stmartins/,555586755,FL24,Aquatic Preserve,127.555,78.35984348,61,0,-82.69766688,28.83104855,2347,0.910748966,166805463.8,108648.9411
51,FL25,Terra Ceia Preserve State Park,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1998,Unrestricted,Unrestricted,1,IV,IUCN MPA,Interface,https://www.floridastateparks.org/park/Terra-Ceia,555585665,FL25,State Park,7.73425,0.161166224,2,0,-82.56218257,27.59787727,2972,0.725562676,9885586.865,86153.66116
52,FL26,Yellow River Marsh Preserve State Park,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1970, , ,1,IV,IUCN MPA,Marine,https://www.floridastateparks.org/park/yellow-river,555585667,FL26,State Park,3.37316,0,0,0,-87.06739547,30.48661279,213,0.300528805,4558438.414,35764.78346
53,FL3,Big Bend Seagrasses Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1985,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/bigbend/,0,FL3,Aquatic Preserve,2754.88,2734.69839,99,0,-83.43685127,29.50339978,86253,22.3641122,3649745907,2663285.743
54,FL4,Boca Ciega Bay Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Restricted,Restricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/pinellas-county-aquatic-preserves,0,FL4,Aquatic Preserve,74.2675,72.78059045,98,0,-82.72812446,27.75887738,8325,2.62577042,95120678.07,312088.5265
55,FL5,Cape Haze Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1975,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/capehaze/,555586756,FL5,Aquatic Preserve,61.4047,45.4163779,74,0,-82.19192411,26.79785407,1026,0.561452879,77378372.45,66420.33591
56,FL500,Banana River Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1970, , ,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/banana/,555586765,FL500,Aquatic Preserve,105.413,103.6823916,98,0,-80.64146552,28.30686836,4656,1.472930909,136496538.5,177276.7671
